ID|Title|Publishers|Year_North_America|Year_JP|Category|Description
0|3 Ninjas Kick Back|Sony Imagesoft|1994|1994|Action|"3 Ninjas Kick Back is a video game based on the movie of the same name. Players control one of the three ninjas, each with their unique abilities, on a mission to rescue their grandfather."
1|3×3 Eyes Juuma Houkan|Banpresto||1995|Role-playing|"3×3 Eyes Juuma Houkan is a role-playing game based on the manga and anime series 3×3 Eyes. Players follow the story of Yakumo Fujii and a mysterious girl named Pai on their supernatural adventures."
2|3×3 Eyes Seima Kourin-den|Yutaka||1992|Role-playing|"3×3 Eyes Seima Kourin-den is a role-playing game that continues the story of Yakumo Fujii and Pai from the 3×3 Eyes series. Players engage in turn-based battles and explore the fantasy world."
3|3rd Super Robot Wars|Banpresto||1993|Strategy|"3rd Super Robot Wars is a tactical role-playing game featuring various mecha from different anime series. Players strategize their moves to defeat enemies in grid-based battles."
4|4 Nin Shougi|Planning Office Wada||1995|Board game|"4 Nin Shougi is a shogi (Japanese chess) video game that allows players to enjoy the traditional board game on their console. Test your skills against the computer or a friend."
5|4th Super Robot Wars|Banpresto||1995|Strategy|"4th Super Robot Wars is a strategy RPG that brings together mecha from popular anime series. Players command their units in tactical battles to save the world from evil forces."
6|The 7th Saga•ElnardJP|Gameplan21 (JP)Enix (NA)|1993|1993|Role-playing|"The 7th Saga, also known as Elnard in Japan, is a role-playing game where players select one of seven characters to embark on a quest to retrieve seven magical runes. The game is known for its challenging difficulty."
7|90 Minutes European Prime Goal•J.League Soccer Prime Goal 3JP|Namco (JP)Ocean Software (EU)|1995|1995|Sports|"90 Minutes European Prime Goal, also known as J.League Soccer Prime Goal 3 in Japan, is a soccer simulation game featuring real teams and players. Compete in various leagues and tournaments to become a soccer champion."
8|A.S.P. Air Strike Patrol•Desert FighterEU•Desert Fighter: Suna no Arashi SakusenJP|SETA (JP and NA)System 3 (EU)|1994|1994|Action|"A.S.P. Air Strike Patrol, also known as Desert Fighter in Europe and Desert Fighter: Suna no Arashi Sakusen in Japan, is an action-packed flight combat game. Players pilot advanced aircraft to complete dangerous missions and save the world."
9|AIII S.V.: Let's Take the A-Train 3 Super Version|Artdink||1995|Simulation|"AIII S.V.: Let's Take the A-Train 3 Super Version is a train simulation game where players manage a railway company. Build tracks, schedule trains, and optimize routes to create a successful transportation network."
10|Aaahh!!! Real Monsters|Viacom New Media|1995||Action|"Aaahh!!! Real Monsters is an action platformer based on the animated TV series. Players control three monsters attending a monster school, using their unique abilities to solve puzzles and scare humans."
11|ABC Monday Night Football•ABC Mande Naito FuttoboruJP|Data East|1993|1993|Sports|"ABC Monday Night Football, also known as ABC Mande Naito Futtoboru in Japan, is a football simulation game. Experience the excitement of American football with realistic gameplay and strategies."
