query_id	country	action	comedy	drama
qid:5141	US	0.6	0.3	0.1
qid:5114	US	0.8	0.1	0.1
qid:5103	UK	0.2	0.4	0.4
qid:13326	US	0.4	0.4	0.2
qid:13323	IT	0.1	0.2	0.7
qid:5107	US	0.7	0.2	0.1
qid:756	US	0.3	0.6	0.1
qid:13334	US	0.2	0.4	0.4
qid:4984	US	0.5	0.3	0.2
qid:13325	US	0.8	0.1	0.1
qid:14215	US	0.6	0.3	0.1
qid:4982	US	0.3	0.6	0.1
qid:15526	CZ	0.7	0.2	0.1
qid:4858	US	0.6	0.3	0.1
qid:13321	US	0.4	0.3	0.3
qid:1986	US	0.3	0.5	0.2
qid:4914	US	0.2	0.3	0.5
qid:5289	US	0.6	0.3	0.1
qid:13317	US	0.5	0.3	0.2
qid:698	FR	0.2	0.7	0.1
qid:4897	US	0.8	0.1	0.1
qid:4969	US	0.7	0.2	0.1
qid:14303	US	0.4	0.4	0.2
qid:1688	US	0.6	0.2	0.2
qid:15459	US	0.6	0.3	0.1
qid:13329	US	0.8	0.1	0.1
qid:709	JP	0.4	0.2	0.4
qid:5070	CZ	0.6	0.3	0.1
qid:1647	US	0.7	0.2	0.1
qid:12861	US	0.3	0.2	0.5
qid:15440	US	0.2	0.4	0.4
qid:13332	US	0.2	0.3	0.5
qid:1834	US	0.1	0.4	0.5
qid:7454	US	0.4	0.3	0.3
qid:5234	US	0.7	0.2	0.1
qid:14154	US	0.8	0.1	0.1
qid:13315	US	0.6	0.2	0.2
qid:1653	US	0.2	0.3	0.5
qid:9201	US	0.1	0.7	0.2
qid:12876	US	0.4	0.5	0.1
qid:13346	US	0.7	0.2	0.1
qid:5071	JP	0.8	0.1	0.1
qid:14127	US	0.6	0.3	0.1
qid:4922	US	0.7	0.2	0.1
qid:12873	US	0.3	0.6	0.1
qid:5232	UK	0.2	0.5	0.3
qid:701	US	0.7	0.2	0.1
qid:11720	US	0.6	0.3	0.1
qid:7378	US	0.7	0.2	0.1
qid:1904	US	0.8	0.1	0.1
qid:4968	US	0.7	0.2	0.1
qid:9278	US	0.2	0.7	0.1
qid:11713	US	0.6	0.1	0.3
qid:5013	US	0.1	0.6	0.3
qid:1581	US	0	0.5	0.1
qid:4961	US	0.7	0.2	0.1
qid:12877	US	0.8	0.0	0.2
qid:14204	US	0.5	0.4	0.1
qid:4918	US	0	0.6	0.1
qid:1936	US	0.1	0.2	0.7
qid:5206	US	0.7	0.2	0.1
qid:12859	US	0.8	0.0	0.2
qid:7388	US	0.4	0.3	0.3
qid:1618	US	0.3	0.3	0.4
qid:11726	US	0.1	0.3	0.6
qid:726	US	0.7	0.2	0.1
qid:9262	US	0	0.2	0.1
qid:14234	US	0.2	0.5	0.3
qid:13336	US	0.8	0.1	0.1
qid:5062	US	0.7	0.2	0.1
qid:1872	US	0	0.1	0.5
qid:12863	US	0.1	0.3	0.6
qid:5051	US	0.6	0.1	0.3
qid:1671	US	0.7	0.2	0.1
qid:13320	US	0.8	0.0	0.2
qid:5026	US	0	0.5	0.1
qid:705	BE	0.4	0.2	0.4
qid:5101	US	0.7	0.1	0.2
qid:14186	US	0.1	0	0.2
qid:13327	US	0.6	0.1	0.3
qid:15851	US	0	0	0.1
qid:12869	US	0.7	0.1	0.2
qid:1662	US	0.7	0.2	0.1
qid:1926	US	0.5	0.1	0.4
qid:5129	US	0.7	0.1	0.2
qid:13314	US	0	0.6	0.3
qid:11722	US	0	0	0.7
qid:7428	US	0.8	0.0	0.2
qid:9240	US	0	0.7	0.2
qid:12867	US	0.6	0.1	0.3
qid:14275	US	0.7	0	0.2
qid:6967	US	0.6	0	0.0
qid:13324	US	0.7	0	0.2
qid:7725	US	0	0	0.3
qid:3657	US	0.7	0	0
qid:15854	US	0	0	0.2
qid:1612	US	0.7	0	0.1
qid:5223	US	0.4	0.3	0.3
qid:13340	US	0.6	0.2	0.2
qid:11718	EG	0.3	0.3	0.4
qid:3552	CA	0.7	0.1	0.2
qid:9204	AU	0.5	0.3	0.2
qid:15863	MY	0.6	0.2	0.2
qid:1615	IN	0.4	0.3	0.3
qid:4997	UK	0.3	0.4	0.3
qid:13338	CA	0.4	0.2	0.4
